departure_airport,arrival_airport,airlines,aircraft_types
Liuting Airport,Incheon International Airport,Sheremetyevo-Cargo;Top Sky International;Telford Aviation;Riau Airlines;Tramson Limited;Volare Airlines,Boeing 737-800;Airbus A320;Airbus A330-300;Airbus A321;Boeing 747-400;Boeing 737
Liuting Airport,Jiamusi Airport,South Coast Aviation;Tramson Limited,Boeing 737
Liuting Airport,Jinzhou Airport,Sheremetyevo-Cargo;Volare Airlines,Canadair Regional Jet 700
Liuting Airport,Jixi Xingkaihu Airport,South Coast Aviation;Tramson Limited,Boeing 737
Liuting Airport,Kansai International Airport,TAG Aviation USA;Sheremetyevo-Cargo;Trabajos Aereos Vascongados;Tramson Limited;Volare Airlines,Boeing 767-300;Airbus A320
Liuting Airport,Kaohsiung International Airport,Sundorph Aeronautical Corporation,McDonnell Douglas MD-90
Liuting Airport,Kunming Changshui International Airport,Quisqueya Airlines;Servicos De Alquiler;Tramson Limited,Airbus A320
Liuting Airport,Longdongbao Airport,Servicos De Alquiler,Boeing 737-800
Liuting Airport,Longjia Airport,Servicos De Alquiler;Taxis Aereos De Parral;Sheremetyevo-Cargo;AtlasGlobal Ukraine;Volare Airlines,Boeing 737-800;Airbus A320;Airbus A319;Airbus A321;Boeing 737
Liuting Airport,Mudanjiang Hailang International Airport,Tramson Limited,Airbus A320
Liuting Airport,Nanchang Changbei International Airport,Sheremetyevo-Cargo;Volare Airlines;AtlasGlobal Ukraine,Boeing 737;Airbus A320
Liuting Airport,Nanjing Lukou Airport,Sheremetyevo-Cargo;Volare Airlines;Tramson Limited,Boeing 737-800;Airbus A321;Airbus A320
Liuting Airport,Nanping Wuyishan Airport,Sheremetyevo-Cargo;Volare Airlines,Boeing 737-800
Liuting Airport,Narita International Airport,Sheremetyevo-Cargo;Volare Airlines;Trabajos Aereos Vascongados,Boeing 767-300
Liuting Airport,Ningbo Lishe International Airport,Servicos De Alquiler;Sheremetyevo-Cargo;Shans Air;Tramson Limited;Volare Airlines,Boeing 737-800;Airbus A320
Liuting Airport,Qiqihar Sanjiazi Airport,South Coast Aviation;Tramson Limited,Boeing 737
Liuting Airport,Saertu Airport,Servicos De Alquiler;Tramson Limited,Airbus A319;Airbus A320
Liuting Airport,Shanghai Hongqiao International Airport,Smalandsflyg;South Coast Aviation;Sheremetyevo-Cargo;Royal Oman Police;Tramson Limited;Volare Airlines,Boeing 737-800;Boeing 737;Airbus A320
Liuting Airport,Shanghai Pudong International Airport,Servicos De Alquiler;Smalandsflyg;Sheremetyevo-Cargo;Tramson Limited;Volare Airlines,Boeing 737-800;Airbus A319;Airbus A321;Airbus A320
Liuting Airport,Shanhaiguan Airport,Taxirey,Embraer 190
Liuting Airport,Shenzhen Bao'an International Airport,Servicos De Alquiler;Sheremetyevo-Cargo;Volare Airlines;AtlasGlobal Ukraine,Boeing 737-800;Airbus A321;Airbus A320
Liuting Airport,Shijiazhuang Daguocun International Airport,Tramson Limited;Sheremetyevo-Cargo;Volare Airlines,Boeing 737-800;Airbus A320
Liuting Airport,Singapore Changi Airport,Wisman Aviation,Boeing 777-200
Liuting Airport,Sunan Shuofang International Airport,Tramson Limited,Airbus A320
Liuting Airport,Suvarnabhumi Airport,Volare Airlines,Boeing 737-800
Liuting Airport,Taichung Ching Chuang Kang Airport,Volare Airlines,Boeing 737-800
Liuting Airport,Taiping Airport,Servicos De Alquiler;Taxis Aereos De Parral;Sheremetyevo-Cargo;Shans Air;Tramson Limited;Volare Airlines,Boeing 737-800;Boeing 737-700;Airbus A320;Airbus A319;Airbus A321;Boeing 737
Liuting Airport,Taiwan Taoyuan International Airport,Tramson Limited;Sundorph Aeronautical Corporation;Volare Airlines;Seco International,Boeing 737-800;Boeing 747-400;Airbus A320
Liuting Airport,Taiyuan Wusu Airport,Servicos De Alquiler;Sheremetyevo-Cargo;Volare Airlines;Tramson Limited,Boeing 737-800;Boeing 737
Liuting Airport,Taoxian Airport,Servicos De Alquiler;Taxis Aereos De Parral;Sheremetyevo-Cargo;Wisman Aviation;Shans Air;Eagle Canyon Airlines;Tramson Limited;Sentel Corporation;Volare Airlines,Boeing 737-800;Airbus A340-300;Airbus A320;Airbus A321;Boeing 777-200;Boeing 737
Liuting Airport,Tianjin Binhai International Airport,Servicios Aereos Profesionales;Volare Airlines;Sheremetyevo-Cargo,Embraer 190;Canadair Regional Jet 700;Boeing 737-800
Liuting Airport,Tunxi International Airport,Servicos De Alquiler,Airbus A320
Liuting Airport,Wenzhou Longwan International Airport,Tramson Limited;Servicios Aereos Profesionales;Volare Airlines;Sheremetyevo-Cargo,Embraer 190;Boeing 737-800;Boeing 737
Liuting Airport,Wuhan Tianhe International Airport,Servicos De Alquiler;Rotormotion;Sheremetyevo-Cargo;Shans Air;Tramson Limited;Volare Airlines,Boeing 737-800;Boeing 737-700;Airbus A320
Liuting Airport,Xi'an Xianyang International Airport,Servicos De Alquiler;Sector Airlines;Skyways;Sheremetyevo-Cargo;Shans Air;Tramson Limited;Volare Airlines,Boeing 737-800;Airbus A319;Boeing 737;Airbus A320
Liuting Airport,Xiamen Gaoqi International Airport,Taxis Aereos De Parral;Servicos De Alquiler;Sheremetyevo-Cargo;Volare Airlines,Boeing 737-800;Airbus A319;Boeing 737
Liuting Airport,Yanji Chaoyangchuan Airport,Tramson Limited;Sheremetyevo-Cargo;Volare Airlines,Boeing 737;Airbus A320
Liuting Airport,Yuncheng Guangong Airport,Sheremetyevo-Cargo;Volare Airlines,Boeing 737-800
Liuting Airport,Zhengzhou Xinzheng International Airport,Servicos De Alquiler;Travel Express Aviation Services;Sheremetyevo-Cargo;Servicios Aereos Profesionales;Volare Airlines,Embraer 190;Boeing 737-800;Airbus A320
Liuting Airport,Zhoushuizi Airport,Servicos De Alquiler;Taxis Aereos De Parral;Sheremetyevo-Cargo;Tramson Limited;Volare Airlines,Boeing 737-800;Canadair Regional Jet 200;Boeing 737
Liuzhou Bailian Airport,Beijing Capital International Airport,Sheremetyevo-Cargo;AtlasGlobal Ukraine,Boeing 737-800;Boeing 737
Liuzhou Bailian Airport,Changsha Huanghua International Airport,Tramson Limited,Airbus A319
Liuzhou Bailian Airport,Chengdu Shuangliu International Airport,Skyways,Airbus A319
Liuzhou Bailian Airport,Chongqing Jiangbei International Airport,Salem,Canadair Regional Jet 900
Liuzhou Bailian Airport,Guangzhou Baiyun International Airport,Servicos De Alquiler,Airbus A319;Airbus A320
Liuzhou Bailian Airport,Kunming Changshui International Airport,Skyways,Airbus A319
Liuzhou Bailian Airport,Sanya Phoenix International Airport,Tramson Limited,Embraer EMB 110 Bandeirante
Liuzhou Bailian Airport,Shanghai Hongqiao International Airport,Tramson Limited,Airbus A321
Liuzhou Bailian Airport,Shanghai Pudong International Airport,Tramson Limited,Airbus A320
Liuzhou Bailian Airport,Shenzhen Bao'an International Airport,Skyways,Airbus A319
Liuzhou Bailian Airport,Wuhan Tianhe International Airport,Tramson Limited,Embraer EMB 110 Bandeirante
Liuzhou Bailian Airport,Xiamen Gaoqi International Airport,Skyways,Airbus A319
Liuzhou Bailian Airport,Zhuhai Jinwan Airport,Salem,Canadair Regional Jet 900
Liverpool John Lennon Airport,Adolfo Suarez Madrid Barajas Airport,Woodgate Executive Air Charter,Airbus A319;Airbus A320
Liverpool John Lennon Airport,Alicante International Airport,Sky Wings Airlines;Woodgate Executive Air Charter,Boeing 737-800;Airbus A319;Airbus A320
Liverpool John Lennon Airport,Amsterdam Airport Schiphol,Woodgate Executive Air Charter,Airbus A319;Airbus A320
Liverpool John Lennon Airport,Barcelona International Airport,Sky Wings Airlines;Woodgate Executive Air Charter,Boeing 737-800;Airbus A319
Liverpool John Lennon Airport,Belfast International Airport,Woodgate Executive Air Charter,Airbus A319;Airbus A320
Liverpool John Lennon Airport,Bergerac-Roumaniere Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Berlin-Schonefeld Airport,Woodgate Executive Air Charter,Airbus A319
Liverpool John Lennon Airport,Carcassonne Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Charles de Gaulle International Airport,Woodgate Executive Air Charter,Airbus A319;Airbus A320
Liverpool John Lennon Airport,City of Derry Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Copernicus Wroclaw Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Cork Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Diagoras Airport,Sky Wings Airlines;Woodgate Executive Air Charter,Boeing 737-800;Airbus A320
Liverpool John Lennon Airport,Dublin Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Faro Airport,Sky Wings Airlines;Woodgate Executive Air Charter,Boeing 737-800;Airbus A319;Airbus A320
Liverpool John Lennon Airport,Francisco de Sa Carneiro Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Fuerteventura Airport,Sky Wings Airlines;Woodgate Executive Air Charter,Boeing 737-800;Airbus A319
Liverpool John Lennon Airport,Gdansk Lech Walesa Airport,Finlandian,Airbus A320
Liverpool John Lennon Airport,Geneva Cointrin International Airport,Woodgate Executive Air Charter,Airbus A319;Airbus A320
Liverpool John Lennon Airport,Gran Canaria Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Humberto Delgado Airport (Lisbon Portela Airport),Woodgate Executive Air Charter,Airbus A319;Airbus A320
Liverpool John Lennon Airport,Ibiza Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Ireland West Knock Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Isle of Man Airport,Servicio Tecnico Aero De Mexico;Woodgate Executive Air Charter,De Havilland Canada DHC-8-400 Dash 8Q;Airbus A319
Liverpool John Lennon Airport,Jersey Airport,Woodgate Executive Air Charter,Airbus A319
Liverpool John Lennon Airport,Kos Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Krakow John Paul II International Airport,Sky Wings Airlines;Woodgate Executive Air Charter,Boeing 737-800;Airbus A319
Liverpool John Lennon Airport,Lanzarote Airport,Sky Wings Airlines;Woodgate Executive Air Charter,Boeing 737-800;Airbus A320
Liverpool John Lennon Airport,Larnaca International Airport,Woodgate Executive Air Charter,Airbus A320
Liverpool John Lennon Airport,Limoges Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Malaga Airport,Sky Wings Airlines;Woodgate Executive Air Charter,Boeing 737-800;Airbus A319
Liverpool John Lennon Airport,Malta International Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Milan Rastislav Stefanik Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Milas Bodrum International Airport,Woodgate Executive Air Charter,Airbus A319
Liverpool John Lennon Airport,Modlin Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Naples International Airport,Woodgate Executive Air Charter,Airbus A319;Airbus A320
Liverpool John Lennon Airport,Nice-Cote d'Azur Airport,Woodgate Executive Air Charter,Airbus A319;Airbus A320
Liverpool John Lennon Airport,Nimes-Arles-Camargue Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Palma De Mallorca Airport,Sky Wings Airlines;Woodgate Executive Air Charter,Boeing 737-800;Airbus A319;Airbus A320
Liverpool John Lennon Airport,Pisa International Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Poznan-Lawica Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Reus Air Base,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Sandefjord Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Shannon Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Szczecin-Goleni Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Tenerife South Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Vilnius International Airport,Sky Wings Airlines,Boeing 737-800
Liverpool John Lennon Airport,Warsaw Chopin Airport,Finlandian,Airbus A320
Livingstone Airport,Kenneth Kaunda International Airport Lusaka,Transportacion Aerea Del Mar De Cortes,British Aerospace Jetstream 41;Boeing 737-200
Livingstone Airport,OR Tambo International Airport,VIP-Avia;Skydrift,Boeing 737-400;Airbus A319;Airbus A320
Livingstone Airport,Robert Gabriel Mugabe International Airport,Thai Flying Helicopter Service;Sham Wing Airlines;TG Aviation,Embraer 190
Ljubljana Joze Pucnik Airport,Amsterdam Airport Schiphol,Travelair,Canadair Regional Jet 900;Airbus A319
Ljubljana Joze Pucnik Airport,Belgrade Nikola Tesla Airport,Taban Air Lines,Aerospatiale/Alenia ATR 72
Ljubljana Joze Pucnik Airport,Brussels Airport,Volga Aviaexpress;Travelair,Canadair Regional Jet 900;Airbus A319
Ljubljana Joze Pucnik Airport,Brussels South Charleroi Airport,Finlandian,Airbus A320
Ljubljana Joze Pucnik Airport,Charles de Gaulle International Airport,Sham Wing Airlines;Travelair,Canadair Regional Jet 900;Embraer 170;Canadair Regional Jet 200;Airbus A319
Ljubljana Joze Pucnik Airport,Copenhagen Kastrup Airport,Vuelos Internos Privados VIP;Travelair,Canadair Regional Jet 900
Ljubljana Joze Pucnik Airport,Frankfurt am Main Airport,Eagle Canyon Airlines;Travelair,Canadair Regional Jet 900;Airbus A319
Ljubljana Joze Pucnik Airport,Helsinki Vantaa Airport,Servicios Aereos de Chihuahua Aerochisa,Airbus A320
Ljubljana Joze Pucnik Airport,Istanbul Airport,White;Travelair,Canadair Regional Jet 900;Airbus A319
Ljubljana Joze Pucnik Airport,London Luton Airport,Finlandian,Airbus A320
Ljubljana Joze Pucnik Airport,London Stansted Airport,Woodgate Executive Air Charter,Airbus A319
Ljubljana Joze Pucnik Airport,Munich Airport,Eagle Canyon Airlines;Travelair,Canadair Regional Jet 900;Canadair Regional Jet 200
Ljubljana Joze Pucnik Airport,Podgorica Airport,FLYJET;Travelair,Canadair Regional Jet 900;Canadair Regional Jet 200;Fokker 100
Ljubljana Joze Pucnik Airport,Pristina International Airport,Travelair,Canadair Regional Jet 900;Canadair Regional Jet 200
Ljubljana Joze Pucnik Airport,Sarajevo International Airport,Travelair,Canadair Regional Jet 200
Ljubljana Joze Pucnik Airport,Sheremetyevo International Airport,Travelair;Walsten Air Services,Canadair Regional Jet 900;Canadair Regional Jet 200;Airbus A319
Ljubljana Joze Pucnik Airport,Skopje Alexander the Great Airport,Travelair,Canadair Regional Jet 900;Canadair Regional Jet 200
Ljubljana Joze Pucnik Airport,Tirana International Airport Mother Teresa,Travelair,Canadair Regional Jet 900;Canadair Regional Jet 200
Ljubljana Joze Pucnik Airport,Vaclav Havel Airport Prague,Travelair,Canadair Regional Jet 200
Ljubljana Joze Pucnik Airport,Vienna International Airport,Austrian Airlines;Travelair,Canadair Regional Jet 900;Canadair Regional Jet 200
Ljubljana Joze Pucnik Airport,Warsaw Chopin Airport,Tamir Airways;Travelair,Canadair Regional Jet 200
Ljubljana Joze Pucnik Airport,Zurich Airport,Tranporte Amazonair;Travelair,Canadair Regional Jet 900;Canadair Regional Jet 200;Airbus A319
Lleida-Alguaire Airport,Palma De Mallorca Airport,Sunshine Air Tours,Canadair Regional Jet 900
Lockhart River Airport,Aurukun Airport,Unijet,De Havilland Canada DHC-8-100 Dash 8 / 8Q
Lockhart River Airport,Cairns International Airport,Unijet,De Havilland Canada DHC-8-100 Dash 8 / 8Q
Loei Airport,Don Mueang International Airport,Severstal,Aerospatiale/Alenia ATR 42-600
Logrono-Agoncillo Airport,Adolfo Suarez Madrid Barajas Airport,Sunshine Air Tours,Canadair Regional Jet 200
Lok Nayak Jayaprakash Airport,Birsa Munda Airport,Red Sea Aviation;Servicios Aereos Ejecutivos De La Laguna,Airbus A320
Lok Nayak Jayaprakash Airport,Chaudhary Charan Singh International Airport,Red Sea Aviation,Airbus A320
Lok Nayak Jayaprakash Airport,Indira Gandhi International Airport,STA-MALI;Red Sea Aviation;Servicios Aereos Ejecutivos De La Laguna,Airbus A319;Airbus A320
Lok Nayak Jayaprakash Airport,Netaji Subhash Chandra Bose International Airport,Vega Aviation;Red Sea Aviation;Rwanda Airlines;Servicios Aereos Ejecutivos De La Laguna,Aerospatiale/Alenia ATR 72;Airbus A320
Lokpriya Gopinath Bordoloi International Airport,Agartala Airport,Voronezh Aircraft Manufacturing Society;Red Sea Aviation,Boeing 737;Airbus A320
Lokpriya Gopinath Bordoloi International Airport,Bagdogra Airport,Voronezh Aircraft Manufacturing Society;Red Sea Aviation,Boeing 737;Airbus A320
Lokpriya Gopinath Bordoloi International Airport,Chhatrapati Shivaji International Airport,Red Sea Aviation,Airbus A320
Lokpriya Gopinath Bordoloi International Airport,Dibrugarh Airport,Vega Aviation;Rwanda Airlines,Boeing 737-800
Lokpriya Gopinath Bordoloi International Airport,Imphal Airport,STA-MALI;Vega Aviation;Red Sea Aviation;Rwanda Airlines,Boeing 737-800;Airbus A320
Lokpriya Gopinath Bordoloi International Airport,Indira Gandhi International Airport,Red Sea Aviation;Servicios Aereos Ejecutivos De La Laguna;STA-MALI;Rwanda Airlines;Vega Aviation;Voronezh Aircraft Manufacturing Society,Boeing 737-800;Boeing 737;Airbus A320
Lokpriya Gopinath Bordoloi International Airport,Kempegowda International Airport,Red Sea Aviation,Airbus A320
Lokpriya Gopinath Bordoloi International Airport,Lengpui Airport,Vega Aviation;Rwanda Airlines,Aerospatiale/Alenia ATR 72
Lokpriya Gopinath Bordoloi International Airport,Netaji Subhash Chandra Bose International Airport,Red Sea Aviation;Servicios Aereos Ejecutivos De La Laguna;STA-MALI;Rwanda Airlines;Vega Aviation;Voronezh Aircraft Manufacturing Society,Boeing 737-800;Airbus A320;Airbus A319;Aerospatiale/Alenia ATR 72;Boeing 737
